"State","County","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days PM2.5","Days PM10"
"California","Santa Cruz",2000,366,342,23,1,0,0,0,126,46,36,0,9,330,22,5
"California","Shasta",2000,366,245,95,25,1,0,0,154,93,44,0,0,354,12,0
"California","Sierra",2000,29,29,0,0,0,0,0,36,30,17,0,0,0,0,29
"California","Siskiyou",2000,310,292,17,1,0,0,0,101,49,36,0,0,267,21,22
"California","Solano",2000,366,290,65,9,2,0,0,153,67,37,18,62,235,51,0
"California","Sonoma",2000,366,324,35,7,0,0,0,122,54,37,0,58,263,43,2
"California","Stanislaus",2000,366,196,111,42,16,1,0,202,122,49,9,74,208,63,12
"California","Sutter",2000,366,241,93,28,4,0,0,166,100,43,19,47,266,23,11
"California","Tehama",2000,320,218,70,30,2,0,0,156,101,40,0,0,305,0,15
"California","Trinity",2000,81,81,0,0,0,0,0,46,28,13,0,0,0,22,59
"California","Tulare",2000,366,127,79,75,81,4,0,203,177,85,2,36,269,56,3
"California","Tuolumne",2000,363,184,98,61,20,0,0,197,133,49,6,0,357,0,0
"California","Ventura",2000,366,147,135,58,25,1,0,203,143,59,0,54,270,41,1
"California","Yolo",2000,366,273,71,20,2,0,0,159,84,40,1,53,274,35,3
"Canada","New Brunswick",2000,182,177,5,0,0,0,0,90,44,32,0,0,182,0,0
"Canada","Saskatchewan",2000,47,43,4,0,0,0,0,55,49,24,0,0,0,47,0
"Colorado","Adams",2000,366,205,156,5,0,0,0,114,67,48,0,106,108,41,111
"Colorado","Alamosa",2000,282,269,11,2,0,0,0,142,39,19,0,0,0,49,233
"Colorado","Arapahoe",2000,362,251,94,16,1,0,0,151,87,43,0,0,321,41,0
"Colorado","Archuleta",2000,353,332,20,1,0,0,0,106,44,23,0,0,0,24,329
"Colorado","Boulder",2000,366,274,87,5,0,0,0,126,69,42,39,0,259,55,13
"Colorado","Delta",2000,66,56,10,0,0,0,0,73,58,25,0,0,0,27,39
"Colorado","Denver",2000,366,195,165,6,0,0,0,126,82,49,10,74,136,133,13
"Colorado","Douglas",2000,234,139,75,20,0,0,0,143,100,48,0,0,201,18,15
"Colorado","Eagle",2000,45,45,0,0,0,0,0,32,20,11,0,0,0,0,45
"Colorado","El Paso",2000,366,187,155,24,0,0,0,140,93,50,15,147,165,22,17
"Colorado","Elbert",2000,113,112,1,0,0,0,0,51,30,15,0,0,0,113,0
"Colorado","Fremont",2000,60,59,1,0,0,0,0,90,20,15,0,0,0,0,60
"Colorado","Garfield",2000,95,95,0,0,0,0,0,50,34,18,0,0,0,0,95
"Colorado","Gunnison",2000,365,201,157,7,0,0,0,122,77,49,0,0,335,5,25
"Colorado","Jackson",2000,65,65,0,0,0,0,0,48,19,10,0,0,0,65,0
"Colorado","Jefferson",2000,366,249,78,38,1,0,0,159,101,44,2,75,289,0,0
"Colorado","La Plata",2000,366,285,81,0,0,0,0,90,59,42,0,27,256,5,78
"Colorado","Larimer",2000,366,211,133,20,2,0,0,159,90,47,2,0,342,21,1
"Colorado","Mesa",2000,366,345,21,0,0,0,0,83,43,24,251,0,0,68,47
"Colorado","Montezuma",2000,348,215,124,9,0,0,0,140,80,45,0,0,339,9,0
"Colorado","Montrose",2000,98,92,6,0,0,0,0,75,45,25,0,0,0,0,98
"Colorado","Pitkin",2000,309,302,7,0,0,0,0,62,33,18,0,0,0,7,302
"Colorado","Prowers",2000,357,323,33,1,0,0,0,112,49,23,0,0,0,0,357
"Colorado","Pueblo",2000,126,112,14,0,0,0,0,79,52,30,0,0,0,102,24
"Colorado","Routt",2000,337,308,29,0,0,0,0,72,44,20,0,0,0,37,300
"Colorado","San Juan",2000,84,84,0,0,0,0,0,40,20,10,0,0,0,84,0
"Colorado","San Miguel",2000,269,261,8,0,0,0,0,62,34,19,0,0,0,19,250
"Colorado","Summit",2000,120,113,6,1,0,0,0,114,43,17,0,0,0,0,120
"Colorado","Teller",2000,297,275,22,0,0,0,0,81,46,21,0,0,0,0,297
"Colorado","Weld",2000,366,288,74,4,0,0,0,119,64,38,37,0,268,59,2
"Connecticut","Fairfield",2000,366,241,94,24,6,1,0,220,91,43,11,131,152,71,1
"Connecticut","Hartford",2000,366,237,115,12,2,0,0,179,74,42,37,66,96,166,1
"Connecticut","Litchfield",2000,222,176,33,10,3,0,0,179,84,38,0,0,193,0,29
"Connecticut","Middlesex",2000,342,295,28,15,4,0,0,195,64,32,0,0,342,0,0
"Connecticut","New Haven",2000,366,146,193,21,5,1,0,217,92,54,0,64,76,209,17
"Connecticut","New London",2000,252,167,70,13,1,1,0,220,87,43,0,0,181,65,6
"Connecticut","Tolland",2000,192,149,29,13,1,0,0,182,84,39,0,5,187,0,0
"Connecticut","Windham",2000,316,255,46,11,3,1,0,209,71,35,0,0,316,0,0
"Country Of Mexico","BAJA CALIFORNIA NORTE",2000,366,87,120,82,37,33,7,491,204,89,88,73,134,0,71
"Country Of Mexico","CHIHUAHUA STATE",2000,366,130,179,46,9,1,1,822,116,63,84,0,245,0,37
"Country Of Mexico","SONORA",2000,61,9,45,7,0,0,0,118,102,71,0,0,0,0,61
"Delaware","Kent",2000,269,155,95,14,3,2,0,205,90,47,0,0,181,88,0
"Delaware","New Castle",2000,366,121,213,25,6,1,0,214,96,58,0,2,101,263,0
"Delaware","Sussex",2000,278,148,100,25,5,0,0,187,101,49,0,0,201,77,0
"District Of Columbia","District of Columbia",2000,366,113,216,31,6,0,0,197,101,58,1,52,78,235,0
"Florida","Alachua",2000,360,262,83,14,1,0,0,151,80,37,0,0,276,84,0
"Florida","Baker",2000,362,264,81,17,0,0,0,150,87,40,0,0,362,0,0
"Florida","Bay",2000,201,139,33,20,8,1,0,208,122,39,0,0,168,0,33
"Florida","Brevard",2000,366,275,74,17,0,0,0,147,84,41,0,0,340,25,1
"Florida","Broward",2000,366,263,92,10,1,0,0,151,64,42,6,31,158,171,0
"Florida","Citrus",2000,157,107,50,0,0,0,0,99,60,42,0,0,0,157,0
"Florida","Collier",2000,37,37,0,0,0,0,0,39,21,16,0,0,0,0,37
"Florida","Columbia",2000,60,55,5,0,0,0,0,67,42,31,0,0,60,0,0
"Florida","Duval",2000,366,199,146,20,1,0,0,172,87,49,1,18,156,191,0
"Florida","Escambia",2000,366,132,180,37,16,1,0,203,112,58,0,2,180,184,0
"Florida","Hamilton",2000,59,58,1,0,0,0,0,100,28,18,0,0,0,0,59
"Florida","Hillsborough",2000,366,141,178,44,3,0,0,164,108,56,1,5,170,187,3
"Florida","Holmes",2000,356,250,92,12,2,0,0,166,84,41,0,0,356,0,0
"Florida","Lake",2000,356,340,11,5,0,0,0,126,41,19,0,0,92,0,264
"Florida","Lee",2000,366,292,62,11,1,0,0,172,74,39,0,0,323,42,1
"Florida","Leon",2000,361,232,111,18,0,0,0,140,87,44,0,0,299,56,6
"Florida","Liberty",2000,355,253,84,18,0,0,0,150,87,41,0,0,355,0,0
"Florida","Manatee",2000,366,252,89,22,3,0,0,156,93,43,0,12,312,42,0
"Florida","Marion",2000,366,249,99,17,1,0,0,151,87,43,0,0,315,51,0
"Florida","Miami-Dade",2000,366,228,123,15,0,0,0,147,71,47,0,14,165,186,1
"Florida","Monroe",2000,61,60,1,0,0,0,0,53,25,16,0,0,0,0,61
"Florida","Nassau",2000,261,256,5,0,0,0,0,56,38,22,0,0,0,0,261
"Florida","Orange",2000,366,184,160,18,4,0,0,174,90,50,0,9,163,194,0
"Florida","Osceola",2000,349,256,76,17,0,0,0,133,87,39,0,0,349,0,0
"Florida","Palm Beach",2000,366,273,85,8,0,0,0,143,64,44,1,3,200,162,0
"Florida","Pasco",2000,362,249,94,18,1,0,0,159,90,43,0,0,362,0,0
"Florida","Pinellas",2000,366,191,148,22,5,0,0,161,97,50,1,16,190,157,2
"Florida","Polk",2000,366,247,94,24,1,0,0,161,93,42,0,0,310,42,14
"Florida","Putnam",2000,61,60,1,0,0,0,0,52,41,23,0,0,0,0,61
"Florida","Santa Rosa",2000,184,104,41,26,13,0,0,187,129,44,0,0,184,0,0
"Florida","Sarasota",2000,366,241,97,24,4,0,0,177,93,43,40,0,279,38,9
"Florida","Seminole",2000,360,261,86,12,1,0,0,166,77,42,0,0,307,53,0
"Florida","St. Lucie",2000,361,288,68,5,0,0,0,115,65,39,0,15,294,51,1
"Florida","Volusia",2000,366,274,82,9,1,0,0,164,71,42,0,0,306,51,9
"Florida","Wakulla",2000,26,15,11,0,0,0,0,72,66,39,0,0,0,26,0
"Georgia","Bibb",2000,285,96,135,36,16,2,0,229,129,61,0,0,206,79,0
"Georgia","Charlton",2000,104,77,27,0,0,0,0,86,61,40,0,0,0,104,0
"Georgia","Chatham",2000,364,233,116,13,2,0,0,172,80,43,0,0,174,94,96
"Georgia","Chattooga",2000,40,39,1,0,0,0,0,69,37,19,0,0,0,0,40
"Georgia","Cherokee",2000,244,223,18,3,0,0,0,126,49,33,0,0,244,0,0
"Georgia","Clarke",2000,92,23,64,5,0,0,0,142,84,62,0,0,0,92,0
"Georgia","Clayton",2000,100,20,76,3,1,0,0,160,87,63,0,0,0,100,0
"Georgia","Cobb",2000,279,121,104,35,15,4,0,205,136,57,0,0,199,80,0
"Georgia","Coweta",2000,235,133,57,35,9,1,0,208,122,47,0,0,235,0,0
"Georgia","Dawson",2000,244,133,86,23,2,0,0,159,101,48,0,0,244,0,0
"Georgia","DeKalb",2000,366,71,227,49,13,6,0,233,133,67,0,19,107,239,1
"Georgia","Dougherty",2000,115,40,70,5,0,0,0,122,85,54,0,0,0,107,8
"Georgia","Douglas",2000,254,137,60,45,11,1,0,202,136,49,0,0,233,0,21
"Georgia","Fayette",2000,239,127,66,37,6,3,0,234,115,49,0,0,239,0,0
"Georgia","Floyd",2000,107,36,67,4,0,0,0,146,86,60,0,0,0,98,9
"Georgia","Fulton",2000,366,85,202,57,16,6,0,228,136,67,0,43,103,219,1
"Georgia","Glynn",2000,282,171,105,6,0,0,0,147,83,47,0,0,194,80,8
"Georgia","Gwinnett",2000,256,112,98,35,9,2,0,219,122,58,0,0,220,36,0
"Georgia","Hall",2000,102,28,69,5,0,0,0,149,83,60,0,0,0,102,0
"Georgia","Henry",2000,243,127,66,29,16,5,0,235,140,49,0,0,243,0,0
"Georgia","Houston",2000,21,3,17,1,0,0,0,150,87,68,0,0,0,21,0
"Georgia","Lowndes",2000,54,23,30,0,1,0,0,170,80,52,0,0,0,54,0
"Georgia","Murray",2000,232,77,99,47,9,0,0,185,126,67,0,0,211,21,0
"Georgia","Muscogee",2000,284,115,118,43,7,1,0,208,115,58,0,0,200,84,0
"Georgia","Paulding",2000,356,201,107,43,5,0,0,166,108,46,0,93,181,82,0
"Georgia","Pike",2000,335,225,73,30,4,3,0,222,101,42,0,0,335,0,0
"Georgia","Richmond",2000,283,118,130,30,3,2,0,206,105,59,0,0,197,85,1
"Georgia","Rockdale",2000,361,283,47,20,9,2,0,212,93,35,0,120,241,0,0
"Georgia","Spalding",2000,59,57,2,0,0,0,0,53,37,22,0,0,0,0,59
"Georgia","Sumter",2000,245,128,74,38,5,0,0,187,108,50,0,0,245,0,0
"Georgia","Walker",2000,55,19,33,3,0,0,0,134,79,58,0,0,0,46,9
"Georgia","Washington",2000,62,20,42,0,0,0,0,93,78,54,0,0,0,55,7
"Georgia","Wilkinson",2000,107,29,73,5,0,0,0,112,86,58,0,0,0,107,0
"Hawaii","Hawaii",2000,339,339,0,0,0,0,0,44,32,19,0,0,339,0,0
"Hawaii","Honolulu",2000,366,352,12,0,2,0,0,190,39,22,23,12,162,115,54
"Hawaii","Kauai",2000,24,24,0,0,0,0,0,36,25,15,0,0,0,0,24
"Hawaii","Maui",2000,358,347,11,0,0,0,0,64,39,21,0,0,0,49,309
"Idaho","Ada",2000,366,311,50,5,0,0,0,108,56,32,40,111,0,71,144
"Idaho","Bannock",2000,244,204,35,2,3,0,0,160,59,27,0,0,0,79,165
"Idaho","Benewah",2000,64,62,2,0,0,0,0,59,44,23,0,0,0,0,64
"Idaho","Bingham",2000,40,30,10,0,0,0,0,91,63,34,0,0,0,0,40
"Idaho","Bonner",2000,362,337,23,2,0,0,0,124,44,21,0,0,0,111,251
"Idaho","Bonneville",2000,66,56,10,0,0,0,0,88,61,27,0,0,0,47,19
"Idaho","Boundary",2000,49,49,0,0,0,0,0,44,37,18,0,0,0,0,49
"Idaho","Butte",2000,353,277,75,1,0,0,0,115,64,42,0,0,349,4,0
"Idaho","Canyon",2000,366,313,49,4,0,0,0,117,55,32,227,0,0,50,89
"Idaho","Caribou",2000,33,32,1,0,0,0,0,55,35,13,0,0,0,0,33
"Idaho","Custer",2000,89,88,1,0,0,0,0,79,24,8,0,0,0,89,0
"Idaho","Kootenai",2000,364,331,33,0,0,0,0,99,46,21,0,0,0,101,263
"Idaho","Lemhi",2000,131,92,21,13,5,0,0,170,113,25,0,0,0,46,85
"Idaho","Lewis",2000,60,56,4,0,0,0,0,52,45,30,0,0,0,0,60
"Idaho","Minidoka",2000,57,54,3,0,0,0,0,53,40,20,0,0,0,0,57
"Idaho","Nez Perce",2000,366,345,21,0,0,0,0,94,37,17,269,0,0,58,39
"Idaho","Power",2000,341,69,209,39,21,3,0,217,132,66,0,0,0,279,62
"Idaho","Shoshone",2000,325,299,26,0,0,0,0,89,44,17,0,0,0,58,267
"Idaho","Twin Falls",2000,76,65,11,0,0,0,0,78,56,26,0,0,0,43,33
"Illinois","Adams",2000,364,320,40,4,0,0,0,129,53,33,0,0,318,46,0
"Illinois","Champaign",2000,366,257,94,13,2,0,0,161,78,41,0,0,320,46,0
"Illinois","Cook",2000,366,59,272,34,1,0,0,155,100,69,0,86,50,219,11
"Illinois","DuPage",2000,365,287,76,2,0,0,0,112,67,31,0,0,270,95,0
"Illinois","Effingham",2000,229,175,47,7,0,0,0,147,71,42,0,0,229,0,0
"Illinois","Hamilton",2000,228,163,53,11,1,0,0,156,84,43,0,0,228,0,0
"Illinois","Jackson",2000,60,58,2,0,0,0,0,51,39,19,0,0,0,0,60
"Illinois","Jersey",2000,230,163,47,19,1,0,0,154,100,43,0,0,230,0,0
"Illinois","Jo Daviess",2000,349,306,38,5,0,0,0,143,51,35,0,0,349,0,0
"Illinois","Kane",2000,365,291,69,5,0,0,0,115,68,35,0,0,297,66,2
"Illinois","La Salle",2000,363,283,78,2,0,0,0,109,64,25,0,0,0,103,260
"Illinois","Lake",2000,366,291,69,6,0,0,0,136,67,35,0,2,297,67,0
"Illinois","Macon",2000,366,268,93,5,0,0,0,147,71,40,0,0,268,98,0
"Illinois","Macoupin",2000,362,286,59,14,3,0,0,164,74,38,0,0,359,0,3
"Illinois","Madison",2000,366,157,178,27,3,1,0,202,97,54,0,0,171,107,88
"Illinois","McHenry",2000,363,285,69,9,0,0,0,136,67,34,0,0,284,79,0
"Illinois","McLean",2000,55,25,29,1,0,0,0,112,83,52,0,0,0,55,0
"Illinois","Peoria",2000,366,263,96,7,0,0,0,115,71,39,47,0,230,87,2
"Illinois","Randolph",2000,366,263,91,11,1,0,0,151,84,40,0,0,325,41,0
"Illinois","Rock Island",2000,344,303,41,0,0,0,0,100,54,33,0,0,298,46,0
"Illinois","Saint Clair",2000,366,228,126,9,3,0,0,161,77,43,0,132,129,104,1
"Illinois","Sangamon",2000,366,270,88,7,1,0,0,164,69,38,11,0,268,78,9
"Illinois","Will",2000,366,248,111,6,1,0,0,151,77,41,0,42,228,95,1
"Illinois","Winnebago",2000,366,279,82,5,0,0,0,126,71,37,39,0,251,76,0
"Indiana","Allen",2000,364,237,111,12,4,0,0,182,84,42,126,0,160,77,1
"Indiana","Bartholomew",2000,131,124,7,0,0,0,0,58,41,19,0,0,0,0,131
"Indiana","Boone",2000,183,113,57,11,2,0,0,166,90,47,0,0,183,0,0
"Indiana","Clark",2000,254,115,108,27,4,0,0,156,105,54,0,0,164,84,6
"Indiana","Daviess",2000,55,53,2,0,0,0,0,56,34,19,0,0,0,0,55
"Indiana","DeKalb",2000,59,56,3,0,0,0,0,55,36,22,0,0,0,0,59
"Indiana","Delaware",2000,113,39,72,2,0,0,0,134,82,58,0,0,0,113,0
"Indiana","Dubois",2000,117,35,76,6,0,0,0,133,80,59,0,0,0,113,4
"Indiana","Elkhart",2000,226,154,66,6,0,0,0,126,75,43,0,0,139,87,0
"Indiana","Floyd",2000,255,148,91,16,0,0,0,133,86,45,0,0,167,88,0
"Indiana","Gibson",2000,366,344,20,2,0,0,0,112,44,27,0,187,179,0,0
"Indiana","Greene",2000,174,101,59,10,4,0,0,174,93,48,0,0,174,0,0
"Indiana","Hamilton",2000,183,114,55,10,4,0,0,187,97,48,0,0,183,0,0
"Indiana","Hancock",2000,183,123,47,9,4,0,0,182,87,45,0,0,183,0,0
"Indiana","Hendricks",2000,275,114,88,65,7,1,0,204,114,60,1,185,88,0,1
"Indiana","Henry",2000,13,7,6,0,0,0,0,67,64,49,0,0,0,13,0
"Indiana","Howard",2000,112,44,67,1,0,0,0,101,80,58,0,0,0,112,0
"Indiana","Huntington",2000,170,103,57,6,4,0,0,169,93,48,0,0,170,0,0
"Indiana","Jackson",2000,179,118,47,11,3,0,0,164,97,47,0,0,179,0,0
"Indiana","Jasper",2000,62,62,0,0,0,0,0,40,26,17,0,0,0,0,62
"Indiana","Johnson",2000,183,103,66,12,2,0,0,164,90,48,0,0,183,0,0
"Indiana","Knox",2000,358,259,87,10,2,0,0,154,77,41,0,0,298,60,0
"Indiana","LaPorte",2000,241,138,95,5,3,0,0,195,77,47,0,0,156,85,0
"Indiana","Lake",2000,366,71,261,26,8,0,0,164,98,65,0,22,55,276,13
"Indiana","Madison",2000,240,128,99,12,1,0,0,164,87,50,0,0,150,88,2
"Indiana","Marion",2000,366,88,249,26,3,0,0,182,96,63,1,16,77,271,1
"Indiana","Morgan",2000,181,105,60,11,5,0,0,169,93,49,0,0,181,0,0
"Indiana","Perry",2000,212,122,59,25,6,0,0,172,108,47,0,0,181,0,31
"Indiana","Porter",2000,341,227,101,9,4,0,0,190,77,41,0,0,157,84,100
"Indiana","Posey",2000,183,84,73,23,3,0,0,169,119,54,0,0,183,0,0
"Indiana","Putnam",2000,61,58,3,0,0,0,0,55,42,20,0,0,0,0,61
"Indiana","Shelby",2000,182,100,64,14,4,0,0,179,100,49,0,0,182,0,0
"Indiana","Spencer",2000,355,318,32,5,0,0,0,120,53,15,0,299,0,49,7
